"","participant","expName","Stim","Arousal_rate.response","Valence_rate.response","Familiarity_rate.response","Pleasantness_rate.response"
"1",2,"V2","Piano Sonata No. 11 (Spot).wav",3.609375,7,7,4.9912109375
"2",2,"V2","Tritsch-Tratsch (Spot).wav",4.46875,7,6.9931640625,4.64453125
"3",2,"V2","Radetzky March (Spot).wav",5.0107421875,7,7,5.6552734375
"4",3,"V3","Night on Bare Mountain (Spot).wav",5.0009765625,1,6.060546875,3.9755859375
"5",3,"V3","Moonlight Sonata (Spot).wav",1.998046875,7,6.001953125,6.9931640625
"6",3,"V3","Four Seasons Summer (Spot).wav",7,1.97363281249999,5.9775390625,4.0244140625
"7",4,"V4","Gypsy Baron (Spot).wav",3.86328125,6.421875,4.0146484375,3.6875
"8",4,"V4","Unt Donner Unt Blitz (Spot).wav",3.5068359375,5.9384765625,4.966796875,2.9013671875
"9",4,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",5.005859375,5.826171875,2.9892578125,6.0068359375
"10",5,"V5","String Quartet No. 8 (Spot).wav",4.9814453125,5.005859375,3.033203125,3.9951171875
"11",5,"V5","L’Incendie (Spot).wav",5.97265625,2.9990234375,2.9990234375,1.978515625
"12",5,"V5","Chaconne in G (Spot).wav",2.9990234375,3.5458984375,3.990234375,3.4970703125
"13",6,"V6","Healing Water Full.wav",4.5029296875,6.9833984375,7,5.9580078125
"14",6,"V6","Fireplace Full.wav",2.0224609375,3.9853515625,4,1.00683593749999
"15",6,"V6","Aircraft Cabin Full.wav",1,3.9755859375,4.439453125,4.0244140625
"16",8,"V2","Piano Sonata No. 11 (Spot).wav",6.0263671875,5.9970703125,6.9443359375,5.0498046875
"17",8,"V2","Radetzky March (Spot).wav",6.0166015625,6.9345703125,6.001953125,4.9716796875
"18",8,"V2","Tritsch-Tratsch (Spot).wav",6.9296875,6.8759765625,6.8271484375,5.9921875
"19",9,"V3","Four Seasons Summer (Spot).wav",6.978515625,3.00390625,5.962890625,6.9443359375
"20",9,"V3","Night on Bare Mountain (Spot).wav",6.08984375,1.7783203125,1.03613281249999,5.97265625
"21",9,"V3","Moonlight Sonata (Spot).wav",1.88574218749999,3.3359375,6.6953125,6.96875
"22",10,"V4","Gypsy Baron (Spot).wav",4.9912109375,5.46484375,3.990234375,4
"23",10,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",5.9775390625,5.005859375,5.9970703125,3.990234375
"24",10,"V4","Unt Donner Unt Blitz (Spot).wav",5.4892578125,2.994140625,4.419921875,3.970703125
"25",11,"V5","L’Incendie (Spot).wav",5.3671875,2.369140625,4.302734375,5.7138671875
"26",11,"V5","String Quartet No. 8 (Spot).wav",4.2734375,1.54882812499999,6.16796875,4.1318359375
"27",11,"V5","Chaconne in G (Spot).wav",5.2109375,5.9384765625,6.8173828125,5.7041015625
"28",12,"V5","Chaconne in G (Spot).wav",3.990234375,1.50488281249999,1,4.9716796875
"29",12,"V5","L’Incendie (Spot).wav",7,3.970703125,1.998046875,3.990234375
"30",12,"V5","String Quartet No. 8 (Spot).wav",5.9921875,1.97363281249999,4.9912109375,2.984375
"31",13,"V6","Aircraft Cabin Full.wav",5.0205078125,3.0625,5.005859375,6.0458984375
"32",13,"V6","Healing Water Full.wav",3.0087890625,5.943359375,5.1181640625,4.0390625
"33",13,"V6","Fireplace Full.wav",1.998046875,5.0107421875,7,5.9873046875
"34",15,"V2","Piano Sonata No. 11 (Spot).wav",6.02083333333333,5.02604166666666,3.46875,7
"35",15,"V2","Radetzky March (Spot).wav",7,4.48958333333333,4.90104166666666,7
"36",15,"V2","Tritsch-Tratsch (Spot).wav",6.04166666666666,5,2.94791666666666,5.50520833333333
"37",16,"V3","Night on Bare Mountain (Spot).wav",5.58203125,2.5888671875,4.0048828125,5.4599609375
"38",16,"V3","Four Seasons Summer (Spot).wav",5.806640625,2.0078125,3.0380859375,5.5087890625
"39",16,"V3","Moonlight Sonata (Spot).wav",3.1162109375,1.6416015625,2.466796875,5.3916015625
"40",17,"V4","Gypsy Baron (Spot).wav",4.99609375,5.97265625,5.025390625,6.0068359375
"41",17,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",6.0263671875,6.001953125,7,7
"42",17,"V4","Unt Donner Unt Blitz (Spot).wav",5.9580078125,5.9775390625,6.9638671875,6.998046875
"43",18,"V5","String Quartet No. 8 (Spot).wav",6.0068359375,1.861328125,5.3623046875,5.97265625
"44",18,"V5","L’Incendie (Spot).wav",6.587890625,1.9541015625,4.5517578125,5.97265625
"45",18,"V5","Chaconne in G (Spot).wav",5.513671875,1.1142578125,2.5302734375,6.021484375
"46",19,"V6","Fireplace Full.wav",3.033203125,5.0498046875,5.9921875,6.0263671875
"47",19,"V6","Aircraft Cabin Full.wav",5.005859375,1.998046875,3.9951171875,3.98046875
"48",19,"V6","Healing Water Full.wav",5.0302734375,5.9677734375,6.958984375,7
"49",21,"V2","Radetzky March (Spot).wav",5.0107421875,4.4931640625,6.607421875,6.03125
"50",21,"V2","Tritsch-Tratsch (Spot).wav",6.0166015625,5.0107421875,5.5185546875,4.99609375
"51",21,"V2","Piano Sonata No. 11 (Spot).wav",5.025390625,6.0458984375,6.939453125,7
"52",22,"V3","Moonlight Sonata (Spot).wav",2.0078125,2.0029296875,2.9453125,5.0498046875
"53",22,"V3","Four Seasons Summer (Spot).wav",6.0166015625,5.0009765625,5.0205078125,6.0068359375
"54",22,"V3","Night on Bare Mountain (Spot).wav",5.9482421875,3.4873046875,6.001953125,5.9580078125
