"","participant","Stim","Valence","Arousal_rate.response","Valence_rate.response","Familiarity_rate.response","Pleasantness_rate.response","Arousal_rate.rt","Valence_rate.rt","Familiarity_rate.rt","Pleasantness_rate.rt"
"1",2,"Nutcracker Suite, Op. 71a- No. 2c, Russian Dance Trépak (Tchaikovsky)_rep.wav","Positive","6.0234375",5.9765625,7,5.06640625,"13.5439807780003",18.076588499,19.4312932460002,22.4814512020002
"2",2,"The Four Seasons_ Concerto No. 1 in E Major, FV 269 “Spring”_ I. Allegro (Vivaldi)_rep.wav","Positive","5.06640625",5.96875,6.96484375,6.125,"12.278034389999901",18.6658737450002,8.7862804450001,23.6287000929996
"3",2,"Random 2 Note Chords_rep.wav","Neutral","1",2.98828125,2.00390625,1.98828124999999,"25.741606498999701",19.9153232779999,16.1085613159998,30.257795814
"4",2,"Symphony No. 10 in E Minor, Op. 93_ Allegro (Shostakovich)_rep.wav","Negative","3.9921875",2.98828125,2.01171875,4.9921875,"24.996132706000001",14.9048564169997,12.7488038450001,22.3533439679999
"5",2,"88 Keys_rep.wav","Neutral","5.0078125",2.0546875,1.01953125,3.984375,"21.027940162",18.6233270279999,16.022931337,24.6624661079999
"6",2,"String Quartet No. 7, III_ Allegro (Shostakovich)_rep.wav","Negative","5.9921875",3.00390625,5,5.05078125,"17.858758762999901",14.713867422,6.95445690700034,21.437701884
"7",2,"String Quartet No. 2, I- Allegro Rustico (Ginastera)_rep.wav","Negative","5.9609375",1.99609375,5.96875,4.96875,"27.766056463000002",17.8396909990001,10.2538902139999,22.7371338010002
"8",2,"Healing Water_rep.wav","Neutral","3.9609375",4.984375,7,6.015625,"14.406359092000001",12.5586980080001,7.47403029599991,9.24526048999996
"9",2,"Concerto Grosso No. 1, II_ Toccata (Schnittke)_rep.wav","Negative","4.01953125",1.98828124999999,1.01171875,4.01171875,"26.570550021000098",13.5108927089995,16.334408609,24.2352160829996
"10",2,"C Scale up_rep.wav","Neutral","1.98828124999999",3.9765625,6,1,"17.7487787220002",14.8620089660003,12.8015854620002,20.5676617140002
"11",2,"String Concerto in B-Flat-Minor, RV 164_ I. Allegro (Vivaldi)_rep.wav","Positive","6",4.9765625,2.98828125,4.91796875,"18.435363674999699",20.5496842169995,12.1671276670003,23.59526168
"12",2,"Dark Forest_rep.wav","Neutral","2.96875",1.97265625,7,1,"15.8580838259999",11.1387686189996,6.82832525399999,9.09614823999982
"13",2,"Suite for Strings “Le Grand Cahier”- II. Les Alertes (Litvinovsky)_rep.wav","Negative","4.00390625",1.99609375,1.98046875,5.0078125,"23.903861044000202",20.9439189170002,10.0752723210002,26.2202959630003
"14",2,"Le Nozze do Figaro_ Non Piu Andrai, Farfallone Amoroso (Mozart)_rep.wav","Positive","4.9921875",5.9765625,5.9765625,6.0078125,"20.1085339209998",16.6536594389999,7.73820605999981,24.2259510999997
"15",2,"Violin Concerto Op. 77, II_ Scherzo (Shostakovich)_rep.wav","Negative","4.9765625",3.01953125,2.00390625,5,"26.785867141999901",24.5351349780003,19.6470952230001,22.8885605699997
"16",2,"Radetzky March, Op. 228 (Strauss)_rep.wav","Positive","5.0078125",5.9765625,6.93359375,6.03515625,"13.8528600050003",11.1314544069996,6.6264134439998,15.5660635660001
"17",2,"String Quartet No. 1, I- Allegro Violento Ed Agitato (Ginastera)_rep.wav","Negative","5.0078125",2.02734375,1.92968749999999,5.03515625,"21.805160857999901",16.26669437,10.1187171739998,18.5206106300001
"18",2,"String Quartet No. 2, V- Furioso (Ginastera)_rep.wav","Negative","1.88671875",2.96875,1.97265625,4.01171875,"30.331763651999601",20.2106277389998,16.511793009,23.2232736349997
"19",2,"Sonata for Violin and Piano in D Major, KV 7 (Mozart)_rep.wav","Positive","4.02734375",4.9609375,3.00390625,5.9921875,"25.773600338000001",23.6651604869998,18.9804687959999,21.7730259969998
"20",2,"Suburb_rep.wav","Neutral","2.00390625",3.9921875,6.93359375,5.04296875,"15.0948383500003",9.221391691,7.55403130600007,12.5116630520001
"21",2,"Suite for Strings “Le Grand Cahier”- X. L’Incendie (Litvinovsky)_rep.wav","Negative","4.00390625",2.00390625,3.01171875,4.9609375,"26.892791794999901",25.0443862490001,17.281457731,20.535423536
"22",2,"Primeval Forest_rep.wav","Neutral","2.01171875",3.984375,7,3.9921875,"15.061989275",16.9535269079997,7.96428768000032,12.7022685809997
"23",2,"Chaconne in G Minor (Vitali)_rep.wav","Negative","4.0859375",1.98046875,1.98046875,4.93359375,"23.8906712970001",19.1035613030003,8.70149638199973,20.8631377249998
"24",2,"Railroad_rep.wav","Neutral","1.9140625",3.9921875,6.0078125,2.0625,"22.126875175000301",12.2703020859999,10.4611043040004,16.9557651929999
"25",2,"Tritsch-Tratsch (Chit-Chat) Polka_ Op 214 (Strauss)_rep.wav","Positive","4.40625",6,4.01171875,5.59765625,"28.970536272999599",26.255072122,12.0083143859997,16.246390708
"26",2,"Brandenburg Concerto No. 4 in G Major, BWV 1049_ I. Allegro (Bach)_rep.wav","Positive","4.64453125",5.88671875,2.9765625,5.296875,"28.770358366999901",22.9111966660002,11.0804113859999,20.1512045610002
"27",2,"The Four Seasons, Concerto No. 2 in G Minor, RV 315 “Summer”- III. Presto (Vivaldi)_rep.wav","Negative","4.5078125",1.97265625,3.02734375,5.984375,"24.5737928179996",11.1226469079997,19.6005927360001,15.698780525
"28",2,"Chromatic scale down_rep.wav","Neutral","1.58203125",3.984375,6.96484375,1.98828124999999,"12.8055558730002",17.039495424,8.35163007799974,20.4350679189997
"29",2,"Night Blue_rep.wav","Neutral","4.46484375",4.984375,2.01171875,5,"25.723691468000101",17.704872963,19.3537153149995,21.2282817780001
"30",2,"Piano Sonata No. 14 in C-Sharp Minor, “Moonlight Sonata”_ 1. Adagio Sostenuto (Beethoven)_rep.wav","Negative","4.9765625",1.30859374999999,7,6.03515625,"15.1167431630001",12.4429139439998,6.45309012899997,17.4422448189998
"31",2,"Church Sonata in C Major, KV. 328 on period instruments (Mozart)_rep.wav","Positive","4.53125",5.75390625,4.01953125,5.48046875,"24.458825947000101",27.896228815,17.4848517119999,21.9290992139999
"32",2,"Aircraft Cabin_rep.wav","Neutral","1",3.9765625,7,1.45703125,"16.500784977999899",18.4207260500002,7.3930744170002,10.3586142690001
"33",2,"Tape Hiss_rep.wav","Neutral","1.99609375",3.9765625,6.9921875,4.02734375,"16.516722249999901",13.356492675,7.38610893799977,10.0765610200001
"34",2,"C Scale down_rep.wav","Neutral","1.58984374999999",3.9765625,6,1.98828124999999,"19.437873714999998",12.0898160759998,14.3776103219997,16.329938411
"35",2,"Piano Quintet in B Minor, IV_ Temo con Variazioni (Sviridov)_rep.wav","Negative","5.77734375",2.3515625,3.00390625,5.35546875,"24.476104758000002",20.291882471,27.0208880499999,30.000287283
"36",2,"Sinfonia in G Major, RV 149- I. Allegro Molto (Vivaldi)_rep.wav","Positive","4.64453125",5.76953125,3.02734375,5.65234375,"17.5576708769999",22.2097520189995,11.1182570959999,14.3425764530002
"37",2,"Ice World_rep.wav","Neutral","4.58984375",3.9921875,2.0625,5.53125,"14.9899822220004",17.8151016469996,8.82663169600027,12.0642625219998
"38",2,"Dear Zigeunerbaron (The Gypsy Baron), Act III_ March (Strauss)_rep.wav","Positive","4.5546875",5.6953125,2.46484375,5.18359375,"18.632150829999699",21.1482364129997,14.6585341760001,24.0044495199999
"39",2,"Unter Donner und Blitz (Thunder and lightning Polka) (Strauss)_rep.wav","Positive","4.7109375",5.91015625,2.98828125,4.16015625,"19.436011666999999",7.2137737869998,14.9373859100001,10.5262217849999
"40",2,"Concerto for Strings in D Major, RV 121_ I. Allegro Molto (Vivaldi)_rep.wav","Positive","4.6875",6.46484375,4.9921875,5.984375,"22.780456628000099",18.697909118,12.2102094159999,15.4526481259999
"41",2,"The Pilgrim_rep.wav","Neutral","3.44921875",4.3984375,2.6328125,3.87890625,"28.246939389000001",25.2784533189997,16.6794144170003,19.563010455
"42",2,"Singing Bowls_rep.wav","Neutral","2.57421875",4.265625,1.98828124999999,2.59765625,"12.018599815",18.3823247119999,13.9703112669999,20.9580552689999
"43",2,"String Quartet No. 4, V_ Allegro Molto (Bartok)_rep.wav","Negative","3.6640625",1.73046874999999,1.34374999999999,2.5390625,"21.762810196000299",13.6642275789999,18.411348522,8.24306638300004
"44",2,"Random Notes_rep.wav","Neutral","1.16015625",4.00390625,4.9765625,1.56640625,"15.683382486999999",7.72855303400001,10.5491364660001,13.1884356939999
"45",2,"Night Commute_rep.wav","Neutral","3.3515625",4.53125,2.671875,5.45703125,"17.324759230999899",13.801018739,21.1199897399997,23.1469145189998
"46",2,"Symphony No. 2 in D Minor, Op. 40, I_ Allegro Ben Articulo (Prokofiev)_rep.wav","Negative","4.33984375",1.59765625,5.20703125,6.15625,"17.975349206999901",13.4153279030001,23.4652732720001,25.411956034
"47",2,"String Quartet No. 8 in C Minor II (Shostakovich)_rep.wav","Negative","4.375",2.3984375,2.87109375,5.75390625,"22.484542024999801",15.874343726,25.5587793679997,18.9591166209997
"48",2,"Symphony No. 6 in F Major, Op. 68 “Pastoral”; IV. Thunder Storm (Beethoven)_rep.wav","Negative","5.25",1.6640625,4.25,5.74609375,"23.035083570000001",15.71637164,18.916914287,20.8604829259998
